142340777387884544,TEAM 1,Zaap,Martin
199593722399162368,TEAM 4,Alex',
540443178860281867,TEAM 4,Jaran.J.B,
182699523259367424,TEAM 4,EMILO,
481906766247100416,TEAM 6,olga,
406931325459759114,TEAM 1,Robart,
377146641779654666,TEAM 6,Jan,
370182536757772288,TEAM 2,hermann,
107817982243131392,TEAM 1,anikan97,Willy Andre
164752653186760704,TEAM 5,JimmyJØ,
128202609998823424,TEAM 1,ClutchMaster,Lars
219903206896041984,TEAM 2,Thomas the tank engine,QueryTriggerInteraction
211815195406893057,TEAM 3,Orphanum,Henrik
146388848178364417,TEAM 3,Ibrahim,
214482109828431872,TEAM 3,Pershjan,Per André
148271429954174977,TEAM 5,Mareek,Johnny
539790517492514818,TEAM 5,TommyWiersdalen,
